date,lobby,game,team,ign,playfabid,placement,kills,damage,date,date num,is_fun_match,playfabid2
2024/06/04 17:40:45,6FF98B,1,D,SIeepyJoeBiden,827BB5492C42434E,2,5,2217,2024-06-04,45447,0,B0E52B0761329378
2024/06/04 17:40:45,6FF98B,1,D,BBQ__WATER,15A08CA14697B062,2,13,3366,2024-06-04,45447,0,15A08CA14697B062
2024/06/04 17:40:45,6FF98B,1,D,TOTALS,,2,27,8015,2024-06-04,45447,0,
2024/06/04 17:40:45,6FF98B,1,E,GO_STOOOBE,121559C6C39206B5,8,2,444,2024-06-04,45447,0,121559C6C39206B5
2024/06/04 17:40:45,6FF98B,1,E,GO_Maverick,C88B28FFE600C77E,8,1,495,2024-06-04,45447,0,C88B28FFE600C77E
2024/06/04 17:40:45,6FF98B,1,E,GOxPinkpwnage,A4024C179571E5B9,8,2,701,2024-06-04,45447,0,A4024C179571E5B9
2024/06/04 17:40:45,6FF98B,1,E,TOTALS,,8,5,1640,2024-06-04,45447,0,
2024/06/04 17:40:45,6FF98B,1,F,MVP_Provolown,62D75D8FC9785191,5,3,744,2024-06-04,45447,0,62D75D8FC9785191
2024/06/04 17:40:45,6FF98B,1,F,PUTIN,14E017AE65DFDD61,5,2,496,2024-06-04,45447,0,E9E44C258D99C389
2024/06/04 17:40:45,6FF98B,1,F,MrRager,91062BD8ADCBAE8,5,3,993,2024-06-04,45447,0,42AAE36F6839385B
2024/06/04 17:40:45,6FF98B,1,F,TOTALS,,5,8,2233,2024-06-04,45447,0,
2024/06/04 17:40:45,6FF98B,1,G,WillMM,2F8C8755E29B22CA,1,1,496,2024-06-04,45447,0,2F8C8755E29B22CA
2024/06/04 17:40:45,6FF98B,1,G,IrieVR,735321E35993FAC0,1,4,475,2024-06-04,45447,0,735321E35993FAC0
2024/06/04 17:40:45,6FF98B,1,G,Psycho.Bunny,30D1B0B09E4BBADE,1,0,444,2024-06-04,45447,0,30D1B0B09E4BBADE
2024/06/04 17:40:45,6FF98B,1,G,TOTALS,,1,5,1415,2024-06-04,45447,0,
2024/06/04 17:40:45,6FF98B,1,H,WolfPlayz27,EC41367606605674,3,1,475,2024-06-04,45447,0,EC41367606605674
2024/06/04 17:40:45,6FF98B,1,H,Frost_Bite17,EA604A64B44CCACB,3,0,261,2024-06-04,45447,0,EA604A64B44CCACB
2024/06/04 17:40:45,6FF98B,1,H,vipxace,3C451C712FB045E0,3,0,224,2024-06-04,45447,0,3C451C712FB045E0
2024/06/04 17:40:45,6FF98B,1,H,TOTALS,,3,1,960,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,A,TW_ghostyy,B55FC0433CE3C59E,5,0,174,2024-06-04,45447,0,B55FC0433CE3C59E
2024/06/04 17:55:16,6FF98B,2,A,TTV.Cryptic,EC31CDD3C3C9DDEF,5,1,683,2024-06-04,45447,0,EC31CDD3C3C9DDEF
2024/06/04 17:55:16,6FF98B,2,A,Solace.45,59A7AE9B0B4DC954,5,0,723,2024-06-04,45447,0,EF699F5DAD20ECB
2024/06/04 17:55:16,6FF98B,2,A,TOTALS,,5,1,1580,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,B,MOVEWAY,C5291FD5BBD3F050,3,4,1410,2024-06-04,45447,0,C5291FD5BBD3F050
2024/06/04 17:55:16,6FF98B,2,B,speed.y,28DB9541A0ACBF50,3,0,463,2024-06-04,45447,0,28DB9541A0ACBF50
2024/06/04 17:55:16,6FF98B,2,B,crank.d,B3BF51049C1923AB,3,2,1088,2024-06-04,45447,0,B3BF51049C1923AB
2024/06/04 17:55:16,6FF98B,2,B,TOTALS,,3,6,2961,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,C,S.A.O._MAX.I.CAN,2E0C8F5E8A7957C4,4,1,934,2024-06-04,45447,0,2E0C8F5E8A7957C4
2024/06/04 17:55:16,6FF98B,2,C,S.A.O PeterpanFLEX,39FC372721AE0FDC,4,4,1022,2024-06-04,45447,0,7FBE610C56B5FE41
2024/06/04 17:55:16,6FF98B,2,C,Chino__0,2072A9F47383F728,4,3,1680,2024-06-04,45447,0,DEBC974F6F52CCCC
2024/06/04 17:55:16,6FF98B,2,C,TOTALS,,4,8,3636,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,D,Rocco_DiBacco,AC56409522FABD68,2,5,1967,2024-06-04,45447,0,AC56409522FABD68
2024/06/04 17:55:16,6FF98B,2,D,SIeepyJoeBiden,827BB5492C42434E,2,1,1308,2024-06-04,45447,0,B0E52B0761329378
2024/06/04 17:55:16,6FF98B,2,D,BBQ__WATER,15A08CA14697B062,2,8,2345,2024-06-04,45447,0,15A08CA14697B062
2024/06/04 17:55:16,6FF98B,2,D,TOTALS,,2,14,5620,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,E,GO_STOOOBE,121559C6C39206B5,1,2,580,2024-06-04,45447,0,121559C6C39206B5
2024/06/04 17:55:16,6FF98B,2,E,GO_Maverick,C88B28FFE600C77E,1,6,1648,2024-06-04,45447,0,C88B28FFE600C77E
2024/06/04 17:55:16,6FF98B,2,E,GOxPinkpwnage,A4024C179571E5B9,1,4,1520,2024-06-04,45447,0,A4024C179571E5B9
2024/06/04 17:55:16,6FF98B,2,E,TOTALS,,1,12,3748,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,F,MVP_Provolown,62D75D8FC9785191,8,1,156,2024-06-04,45447,0,62D75D8FC9785191
2024/06/04 17:55:16,6FF98B,2,F,MrRager,91062BD8ADCBAE8,8,0,0,2024-06-04,45447,0,42AAE36F6839385B
2024/06/04 17:55:16,6FF98B,2,F,brrrr_1,1F38E2CA2D523F1,8,0,148,2024-06-04,45447,0,E9E44C258D99C389
2024/06/04 17:55:16,6FF98B,2,F,TOTALS,,8,1,304,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,G,WillMM,2F8C8755E29B22CA,6,0,410,2024-06-04,45447,0,2F8C8755E29B22CA
2024/06/04 17:55:16,6FF98B,2,G,IrieVR,735321E35993FAC0,6,0,87,2024-06-04,45447,0,735321E35993FAC0
2024/06/04 17:55:16,6FF98B,2,G,Psycho.Bunny,30D1B0B09E4BBADE,6,0,87,2024-06-04,45447,0,30D1B0B09E4BBADE
2024/06/04 17:55:16,6FF98B,2,G,TOTALS,,6,0,584,2024-06-04,45447,0,
2024/06/04 17:55:16,6FF98B,2,H,WolfPlayz27,EC41367606605674,7,0,243,2024-06-04,45447,0,EC41367606605674
2024/06/04 17:55:16,6FF98B,2,H,Frost_Bite17,EA604A64B44CCACB,7,1,87,2024-06-04,45447,0,EA604A64B44CCACB
2024/06/04 17:55:16,6FF98B,2,H,vipxace,3C451C712FB045E0,7,0,448,2024-06-04,45447,0,3C451C712FB045E0
2024/06/04 17:55:16,6FF98B,2,H,TOTALS,,7,1,778,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,A,TW_ghostyy,B55FC0433CE3C59E,6,0,496,2024-06-04,45447,0,B55FC0433CE3C59E
2024/06/04 18:04:05,6FF98B,3,A,TTV.Cryptic,EC31CDD3C3C9DDEF,6,1,679,2024-06-04,45447,0,EC31CDD3C3C9DDEF
2024/06/04 18:04:05,6FF98B,3,A,Solace.45,59A7AE9B0B4DC954,6,0,390,2024-06-04,45447,0,EF699F5DAD20ECB
2024/06/04 18:04:05,6FF98B,3,A,TOTALS,,6,1,1565,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,B,MOVEWAY,C5291FD5BBD3F050,8,0,78,2024-06-04,45447,0,C5291FD5BBD3F050
2024/06/04 18:04:05,6FF98B,3,B,speed.y,28DB9541A0ACBF50,8,1,408,2024-06-04,45447,0,28DB9541A0ACBF50
2024/06/04 18:04:05,6FF98B,3,B,crank.d,B3BF51049C1923AB,8,1,235,2024-06-04,45447,0,B3BF51049C1923AB
2024/06/04 18:04:05,6FF98B,3,B,TOTALS,,8,2,721,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,C,S.A.O._MAX.I.CAN,2E0C8F5E8A7957C4,3,6,1142,2024-06-04,45447,0,2E0C8F5E8A7957C4
2024/06/04 18:04:05,6FF98B,3,C,S.A.O PeterpanFLEX,39FC372721AE0FDC,3,2,1332,2024-06-04,45447,0,7FBE610C56B5FE41
2024/06/04 18:04:05,6FF98B,3,C,Chino__0,2072A9F47383F728,3,8,2009,2024-06-04,45447,0,DEBC974F6F52CCCC
2024/06/04 18:04:05,6FF98B,3,C,TOTALS,,3,16,4483,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,D,Rocco_DiBacco,AC56409522FABD68,1,4,774,2024-06-04,45447,0,AC56409522FABD68
2024/06/04 18:04:05,6FF98B,3,D,SIeepyJoeBiden,827BB5492C42434E,1,2,985,2024-06-04,45447,0,B0E52B0761329378
2024/06/04 18:04:05,6FF98B,3,D,BBQ__WATER,15A08CA14697B062,1,8,2214,2024-06-04,45447,0,15A08CA14697B062
2024/06/04 18:04:05,6FF98B,3,D,TOTALS,,1,14,3973,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,E,GO_STOOOBE,121559C6C39206B5,2,0,145,2024-06-04,45447,0,121559C6C39206B5
2024/06/04 18:04:05,6FF98B,3,E,GO_Maverick,C88B28FFE600C77E,2,7,1397,2024-06-04,45447,0,C88B28FFE600C77E
2024/06/04 18:04:05,6FF98B,3,E,GOxPinkpwnage,A4024C179571E5B9,2,3,877,2024-06-04,45447,0,A4024C179571E5B9
2024/06/04 18:04:05,6FF98B,3,E,TOTALS,,2,10,2419,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,F,MVP_Provolown,62D75D8FC9785191,7,0,348,2024-06-04,45447,0,62D75D8FC9785191
2024/06/04 18:04:05,6FF98B,3,F,MrRager,91062BD8ADCBAE8,7,5,1247,2024-06-04,45447,0,42AAE36F6839385B
2024/06/04 18:04:05,6FF98B,3,F,brrrr_1,1F38E2CA2D523F1,7,1,380,2024-06-04,45447,0,E9E44C258D99C389
2024/06/04 18:04:05,6FF98B,3,F,TOTALS,,7,6,1975,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,G,WillMM,2F8C8755E29B22CA,4,2,1045,2024-06-04,45447,0,2F8C8755E29B22CA
2024/06/04 18:04:05,6FF98B,3,G,IrieVR,735321E35993FAC0,4,3,900,2024-06-04,45447,0,735321E35993FAC0
2024/06/04 18:04:05,6FF98B,3,G,Psycho.Bunny,30D1B0B09E4BBADE,4,3,433,2024-06-04,45447,0,30D1B0B09E4BBADE
2024/06/04 18:04:05,6FF98B,3,G,TOTALS,,4,8,2378,2024-06-04,45447,0,
2024/06/04 18:04:05,6FF98B,3,H,WolfPlayz27,EC41367606605674,5,1,523,2024-06-04,45447,0,EC41367606605674
2024/06/04 18:04:05,6FF98B,3,H,Frost_Bite17,EA604A64B44CCACB,5,4,417,2024-06-04,45447,0,EA604A64B44CCACB
2024/06/04 18:04:05,6FF98B,3,H,vipxace,3C451C712FB045E0,5,1,546,2024-06-04,45447,0,3C451C712FB045E0
2024/06/04 18:04:05,6FF98B,3,H,TOTALS,,5,6,1486,2024-06-04,45447,0,
2024/06/04 18:12:09,6FF98B,4,A,TW_ghostyy,B55FC0433CE3C59E,2,0,193,2024-06-04,45447,0,B55FC0433CE3C59E
2024/06/04 18:12:09,6FF98B,4,A,TTV.Cryptic,EC31CDD3C3C9DDEF,2,2,669,2024-06-04,45447,0,EC31CDD3C3C9DDEF
2024/06/04 18:12:09,6FF98B,4,A,Solace.45,59A7AE9B0B4DC954,2,1,390,2024-06-04,45447,0,EF699F5DAD20ECB
2024/06/04 18:12:09,6FF98B,4,A,TOTALS,,2,3,1252,2024-06-04,45447,0,
2024/06/04 18:12:09,6FF98B,4,B,MOVEWAY,C5291FD5BBD3F050,3,0,260,2024-06-04,45447,0,C5291FD5BBD3F050
2024/06/04 18:12:09,6FF98B,4,B,speed.y,28DB9541A0ACBF50,3,2,756,2024-06-04,45447,0,28DB9541A0ACBF50
