datetime,lobby,game,team,ign,playfabid,placement,kills,damage,date,date num,is_fun_match,playfabid2
2024/04/10 18:25:59,AED685.00,0,F,TOTALS,,7,0,506,2024-04-10,45392,0,
2024/04/10 18:25:59,AED685.00,0,G,GO_Robot,C63E7138083B98BC,6,0,98,2024-04-10,45392,0,C63E7138083B98BC
2024/04/10 18:25:59,AED685.00,0,G,TOTALS,,6,0,98,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,A,VIPxNoah,743B2938B4AD04E4,1,9,1613,2024-04-10,45392,0,35BF2EE8727E21DD
2024/04/10 18:37:37,C963DF,1,A,VIPxSami,7236D5DED53B1204,1,2,481,2024-04-10,45392,0,7236D5DED53B1204
2024/04/10 18:37:37,C963DF,1,A,VIPxGloxii <3,C12AACEAC9CE276,1,3,654,2024-04-10,45392,0,B2EB5AF7D9C8E673
2024/04/10 18:37:37,C963DF,1,A,TOTALS,,1,14,2748,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,B,Ry.y,765E29220A77E744,3,0,327,2024-04-10,45392,0,765E29220A77E744
2024/04/10 18:37:37,C963DF,1,B,Magical_Beans,B7A7FD4C7B8309CB,3,0,498,2024-04-10,45392,0,42AAE36F6839385B
2024/04/10 18:37:37,C963DF,1,B,UWU,14E017AE65DFDD61,3,0,221,2024-04-10,45392,0,E9E44C258D99C389
2024/04/10 18:37:37,C963DF,1,B,TOTALS,,3,0,1046,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,C,UnsaidRhombus.NB,6E2438B41FE274CA,4,1,1135,2024-04-10,45392,0,6E2438B41FE274CA
2024/04/10 18:37:37,C963DF,1,C,Winner_54,492A78B22B55DDB3,4,4,857,2024-04-10,45392,0,492A78B22B55DDB3
2024/04/10 18:37:37,C963DF,1,C,TOTALS,,4,5,1992,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,D,Consesa,A964E942A84A9AF9,5,0,202,2024-04-10,45392,0,A964E942A84A9AF9
2024/04/10 18:37:37,C963DF,1,D,WWW_FemboyFallen,9A6C42A411C57BDE,5,0,132,2024-04-10,45392,0,9A6C42A411C57BDE
2024/04/10 18:37:37,C963DF,1,D,WWW_ElliMist,B077A4BA45DBFE90,5,0,178,2024-04-10,45392,0,B077A4BA45DBFE90
2024/04/10 18:37:37,C963DF,1,D,TOTALS,,5,0,512,2024-04-10,45392,0,
2024/04/10 18:37:37,C963DF,1,E,xReturn,C5291FD5BBD3F050,6,0,18,2024-04-10,45392,0,C5291FD5BBD3F050
2024/04/10 18:37:37,C963DF,1,E,Jester.thecl0wn,E7F628EC5820CF60,6,0,106,2024-04-10,45392,0,E7F628EC5820CF60
2024/04/10 18:37:37,C963DF,1,E,Chino__0,2072A9F47383F728,6,0,0,2024-04-10,45392,0,DEBC974F6F52CCCC
2024/04/10 18:37:37,C963DF,1,E,TOTALS,,6,0,124,2024-04-10,45392,0,
