ign,pfid,orig_rating,go_rating
UnQuestionable,87FF41F7ADCDEDFB,819.0,933.4
UnsaidRhombus.NB,6E2438B41FE274CA,1577.0,1286.1
VIPxGloxi,B2EB5AF7D9C8E673,1030.0,1101.2
VIPxJasonStone,305DC36789D31176,971.0,966.2
VIPxNoah,35BF2EE8727E21DD,1371.0,1444.8
VIPxPinkpwnage,A4024C179571E5B9,1555.0,1529.0
VIPxPoppin,DEF5B79DFC354DBB,926.0,956.7
VIPxRyan2dayy,77672C414F852A3B,1361.0,1410.0
VIPxSami,7236D5DED53B1204,839.0,933.3
VIPxSparklingrabbit.2.0,E5F563B053B170EC,1127.0,1090.8
VIPxSpray,C7C87A8A21B3B89F,1272.0,1257.0
VIPxSteel,6A04E4CCE9361848,1199.0,1171.6
VIPxTheFlipSide,7869E518D1E868FC,1156.0,1109.0
VIPxgiantbob321,31B5320BAEA09713,1113.0,1022.2
Vantage.VR,DC195B48542FD9B2,1063.0,1048.9
WWW_ElliMist,B077A4BA45DBFE90,918.0,899.7
WWW_FemboyFallen,9A6C42A411C57BDE,667.0,708.0
WWW_Nando_AK,D6D028A669631FFF,876.0,902.3
Wade,B50A4AC40327843C,986.0,959.7
Winner54.NB,31A0F9CC0262311E,1285.0,1234.4
Winner_54,492A78B22B55DDB3,1352.0,1307.1
Winter,4EFBB9740874DF99,1386.0,1367.7
Yeahboiiiiii,529AAA3C915D1165,1403.0,1562.0
YoPapi,5B6F3C96C8EC8648,986.0,973.1
bathsalts11,2E663F02803AB374,880.0,929.4
bobthecookie123,DBDBA18FAE3C771F,514.0,750.9
jwam2_SAO,2E53A3C6180B3124,669.0,802.0
neeeks,A3D48CEE6968286F,1081.0,1072.9
one_spicy_Libra,B731C877E316DEAF,400.0,481.3
portermac,CC668E1312F0EC6B,993.0,981.6
shreddymac.nb,F36F06887E6693F0,1210.0,1253.2
stuje1,18ADF7AEAC225CE6,909.0,899.4
tinywatermelon,14570E9B30B7CBE3,1299.0,1257.8
vipxace,3C451C712FB045E0,1016.0,962.3
xNeatway,6A062140A6AD14FC,1418.0,1555.7
xReturn,C5291FD5BBD3F050,780.0,788.8
xWhisper,BE37679318BE4F12,589.0,1038.2
