ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM
TTV_CaseOh,10.000,935.000,1561.626,1352.750,1352.750
TTV_FadedPigeon47,3.000,668.000,821.944,698.789,698.789
The_Don_84,5.000,664.000,919.581,749.194,749.194
Tonkaah,39.000,941.000,1390.115,1390.115,1390.115
TreeTrunkTravis,5.000,1151.000,1354.587,1218.862,1218.862
UnQuestionable,5.000,819.000,1162.330,933.443,933.443
UnsaidRhombus.NB,51.000,1577.000,1234.750,1234.750,1286.087
VIPxGloxi,15.000,1030.000,1101.157,1101.157,1101.157
VIPxJasonStone,10.000,971.000,942.278,951.852,966.213
VIPxNoah,5.000,1371.000,1592.266,1444.755,1444.755
VIPxPinkpwnage,19.000,1555.000,1472.857,1472.857,1528.988
VIPxPoppin,20.000,926.000,956.694,956.694,956.694
VIPxRyan2dayy,5.000,1361.000,1508.113,1410.038,1410.038
VIPxSami,10.000,839.000,980.376,933.251,933.251
VIPxSparklingrabbit.2.0,15.000,1127.000,982.228,982.228,1090.807
VIPxSpray,10.000,1272.000,1182.235,1212.157,1257.039
VIPxSteel,5.000,1199.000,869.903,1089.301,1171.575
VIPxTheFlipSide,22.000,1156.000,1027.704,1027.704,1108.958
VIPxgiantbob321,55.000,1113.000,1013.950,1013.950,1022.204
Vantage.VR,5.000,1063.000,893.364,1006.455,1048.864
WWW_ElliMist,5.000,918.000,698.948,844.983,899.746
WWW_FemboyFallen,10.000,667.000,728.456,707.971,707.971
WWW_Nando_AK,5.000,876.000,954.860,902.287,902.287
Wade,11.000,986.000,842.494,880.762,959.691
Winner54.NB,5.000,1285.000,678.126,1082.709,1234.427
Winner_54,36.000,1352.000,1277.190,1277.190,1307.114
Winter,5.000,1386.000,1166.611,1312.870,1367.718
Yeahboiiiiii,25.000,1403.000,1561.966,1561.966,1561.966
YoPapi,5.000,986.000,830.896,934.299,973.075
bathsalts11,10.000,880.000,954.159,929.439,929.439
bobthecookie123,10.000,514.000,869.305,750.870,750.870
jwam2_SAO,29.000,669.000,801.973,801.973,801.973
neeeks,17.000,1081.000,1052.423,1052.423,1072.903
one_spicy_Libra,5.000,400.000,643.763,481.254,481.254
portermac,14.000,993.000,944.071,947.333,981.583
shreddymac.nb,10.000,1210.000,1274.804,1253.202,1253.202
stuje1,10.000,909.000,851.611,870.741,899.435
tinywatermelon,5.000,1299.000,804.356,1134.119,1257.780
vipxace,44.000,1016.000,942.805,942.805,962.324
xNeatway,10.000,1418.000,1624.525,1555.683,1555.683
xReturn,5.000,780.000,806.513,788.838,788.838
xWhisper,18.000,589.000,1038.150,1038.150,1038.150
