ign,pfid,go_rating,pf_player_id
AURELIUS_AVE,5C6E2952678D0796,1083.0,-2563065704025880682
AURELIUS_AVE,13E63D7F87632869,1083.0,-7789470887549130647
AVE_AURELIUS,9C2F382633A0075,1083.0,-8519979803695513483
RBL_Trouble1999_2,CF811A81B0E4A1C5,1530.0,5728889345312858565
RBL_Trouble1999_2,28682871968C1CA7,1530.0,-6311750409437569881
MAX.I.CAN,ED2803447DB13D2,1418.0,-8155315013182352430
MAX.I.CAN,2E0C8F5E8A7957C4,1418.0,-5905187375176656956
VIPxNoah,743B2938B4AD04E4,1736.0,-848038781303061276
VIPxNoah,35BF2EE8727E21DD,1736.0,-5350506256404700707
VIPxA$CE,4A054DCC790C24A2,1001.0,-3889617162565049182
VIPxA$CE,3C451C712FB045E0,1001.0,-4880463348729100832
helloBeauTEEful2,9F69803F0848292C,995.0,2263481295940626732
helloBeauTEEful2,3DB3B4C184947919,995.0,-4777276036463953639
helloBeauTEEful,97A718B9C0358436,995.0,1704358170055771190
Sapphire2889,9F56082143201E3F,797.0,2258001202126003775
Sapphire2889,3E0F07034D2E830,797.0,-8943884495244564432
Magical_Beans,B7A7FD4C7B8309CB,1874.0,4010452498128243147
Magical_Beans,42AAE36F6839385B,1874.0,-4419470016681265061
PipeDoc.NB,16DABA1107FEF320,1069.0,-7576538840786078944
PipeDoc.NB,459F73E9DD5F5850,1069.0,-4206516078662166448
Winner54,185D241F4FE32684,1352.0,-7467772890207541628
Winner54,492A78B22B55DDB3,1352.0,-3951213016437629517
Winner54_,4E7E8100E9A77D12,1352.0,-3567272013910803182
TTV_Winter2,B47B6C15654505EA,1368.0,3781735151256798698
TTV_Winter2,4EFBB9740874DF99,1368.0,-3532025574732800103
PigG13,B8FABF9ACAECD854,1236.0,4105804681852016724
PigG13,4F205584916BEE3B,1236.0,-3521720880739914181
ItsNaaattyBetts,55DD88B97CB2CCEA,1525.0,-3036120243535426326
ItsNaaattyBetts,5359E9B30EA5E38B,1525.0,-3217283503525338229
itsnattyyybeetts,AD1840D6462D0173,1525.0,3249418420192346483
Laufey,45E436061364985B,1354.0,-4187162353824655269
Laufey,55044E87C7BE34EB,1354.0,-3097264298645375765
IGhostyy,9CF7726B4A4A990B,1365.0,2087262757442984203
IGhostyy,571EF546E519B48C,1365.0,-2945647421413542772
YoPapi,8C2A22B362816ADB,986.0,876551231324121819
YoPapi,5B6F3C96C8EC8648,986.0,-2634820638674745784
SAO Lowkey Bad,2D26132EC2DBC067,1669.0,-5970063164474408857
SAO Lowkey Bad,5F4F91D71E0F02AE,1669.0,-2355503726983183698
RACK_EM_WILLIE,E4AC85F0AF5365AC,966.0,7254320368567149996
RACK_EM_WILLIE,606D03E043C374A5,966.0,-2275157975007791963
xRackEmWillie,BA09FEC2EA741EFC,966.0,4182153842100805372
xSkit,42CBCDE0591D0364,1353.0,-4410205046627826844
xSkit,608ED67DD8C0093F,1353.0,-2265637726525060801
Half_Al1ve,7D01298912E30EBC,994.0,-215845638432944452
Half_Al1ve,6C94F59B1E5B27,994.0,-9192808956779668697
IggytheRat,627FF13AAC1EB89F,432.0,-2125715264797493089
IggytheRat,6D3CF37DCFFB45B7,432.0,-1351938066432178761
The_Elliott,325BDDA357F5625A,975.0,-5594634418452602278
The_Elliott,790F7ACB99C1BE25,975.0,-500046018738274779
greaseNtools_SKS,D0D0A3CB0824767F,916.0,5823334410600347263
greaseNtools_SKS,7AF381FC4AC180AE,916.0,-363804224300941138
S.A.O PeterpanFlex,39FC372721AE0FDC,1683.0,-5045096841353490468
S.A.O PeterpanFlex,7FBE610C56B5FE41,1683.0,-18470642840633791
Mr._.Ferrari,ACC91C345732CA5E,922.0,3227141619114494558
Mr._.Ferrari,80FC434787259182,922.0,71005668620210562
Zoloto,309588828B51F1B,1458.0,-9004568638128840933
Zoloto,826DF4BA35497FB,1458.0,-8635969719480576005
itsdaaannybetts,33C2F39DBC018AB,1235.0,-8990258830591911765
