ign,pfid,mapfid,go_rating,rating30plus
S.A.O._MAX.I.CAN,2E0C8F5E8A7957C4,2E0C8F5E8A7957C4,1418,1824
TheRobberButton,E97537D17F7E7AEE,E97537D17F7E7AEE,1413,2057
Sparklingrabbit_2_0,E5F563B053B170EC,E5F563B053B170EC,1411,2036
"f(x,y,z)",109FA6A7D82916F2,109FA6A7D82916F2,1410,1995
TTV.Creamy,358B61D2259774C7,D27AA61FAA59DC11,1408,
TTV.CreamyVR,D27AA61FAA59DC11,D27AA61FAA59DC11,1408,1903
VIPxCreamy,7F68578FE3FC751E,D27AA61FAA59DC11,1408,
VIPxCreamy,FD298106A0DFC78A,D27AA61FAA59DC11,1408,
VIPxCreamy.VR,5E9D12A0C3C3A411,D27AA61FAA59DC11,1408,
SEER3,3601D2E69BCD9A8C,3601D2E69BCD9A8C,1407,1933
VIPxPinkpwnage,2F339DB5B7EB236B,A4024C179571E5B9,1405,
VIPxPinkpwnage,A4024C179571E5B9,A4024C179571E5B9,1405,1959
Dragon3011,EB24CC3F5FCAF103,EB24CC3F5FCAF103,1404,1949
GIizzy,38376C5ACC6B8CD6,38376C5ACC6B8CD6,1402,1915
Biohazard-_-,960F0EBED149E99,960F0EBED149E99,1402,1897
tinywatermelon,14570E9B30B7CBE3,14570E9B30B7CBE3,1400,1863
CLL_YAN,7CDC495F93C542FB,7CDC495F93C542FB,1400,1828
Light.Matches,699E8F37AB1A2BEF,699E8F37AB1A2BEF,1398,2019
OMEGA_JadenB,A33C7D930A1427FA,A33C7D930A1427FA,1393,1672
HUCKLEBERRY.NB,E6A4C4C290F7A3BE,E6A4C4C290F7A3BE,1393,1911
ChromosomeCrusader1,311168791A14ECF9,311168791A14ECF9,1388,1881
Slaughter_32,2EE8D59ED61AA193,2EE8D59ED61AA193,1386,1899
GoodBet,AB0E1E4A4444E415,AB0E1E4A4444E415,1385,1712
Kc_The_Master,80084C2D58405DB3,80084C2D58405DB3,1385,1880
Chrome_3,104E9E72D0DEB916,104E9E72D0DEB916,1384,1683
NRasta,B3202354D230DB72,C0E884AD920F2F3E,1384,
Rasta,C0E884AD920F2F3E,C0E884AD920F2F3E,1384,1112
MuniisHunii_Anthony.7078,E1BBC31FF17A6278,E1BBC31FF17A6278,1383,1890
Epicgamer2.0,9CCC91E3CDDA6902,9CCC91E3CDDA6902,1375,1881
IFF-USA-wickedrose,8991D90592AC1F62,C42FB4D5BD5886D7,1372,1305
WickedRose,C42FB4D5BD5886D7,C42FB4D5BD5886D7,1372,1830
BadBoys_Ricci,349A277D40EF2C82,349A277D40EF2C82,1371,1880
King_Jerry21,45F1555F591473D8,45F1555F591473D8,1369,1599
Ryokan05,8C0BD625A13D8E99,8C0BD625A13D8E99,1367,1868
Tw_Baba_Yaga,46ED6C78EFD04D48,46ED6C78EFD04D48,1366,1725
IGhostyy,571EF546E519B48C,571EF546E519B48C,1365,1889
IGhostyy,9CF7726B4A4A990B,571EF546E519B48C,1365,
Arsh_9,17C81FDBCCC905C6,17C81FDBCCC905C6,1361,1774
Laufey,45E436061364985B,55044E87C7BE34EB,1354,
blunt_,55044E87C7BE34EB,55044E87C7BE34EB,1354,1877
TumbleWede,EBC545C36FF486BA,EBC545C36FF486BA,1354,1866
xSkit,42CBCDE0591D0364,608ED67DD8C0093F,1353,
xSkit,608ED67DD8C0093F,608ED67DD8C0093F,1353,1326
Winner54,185D241F4FE32684,492A78B22B55DDB3,1352,
Winner54_,492A78B22B55DDB3,492A78B22B55DDB3,1352,1426
Winner54_,4E7E8100E9A77D12,492A78B22B55DDB3,1352,
AydenE22,EBCCB1D15DDF607C,EBCCB1D15DDF607C,1352,1804
"really,bad,at,math",FB4EBF13DB0233EF,FB4EBF13DB0233EF,1349,1787
PK3101,784610928B0C11A3,784610928B0C11A3,1347,1816
NickVG_076,287378888600AE3C,287378888600AE3C,1346,1901
vampire kiss,7A13E4606B857D81,7A13E4606B857D81,1341,1792
CaptainComposerHat,C32DB9875E7F6B88,C32DB9875E7F6B88,1339,1839
Galaxy,6B9BE3DDEBA1FBA6,6B9BE3DDEBA1FBA6,1339,1934
kek_NIKLAS,7D6946D89556112,7D6946D89556112,1337,1822
colinthe5,3343CDAF52D0E5E2,3343CDAF52D0E5E2,1332,1648
JBro02,2AC8E3B55467A64B,2AC8E3B55467A64B,1330,1873
TardigradaTaco420,C82CEA31F887E31F,C82CEA31F887E31F,1329,1838
i_vibes,B147EA61C519D41A,B147EA61C519D41A,1327,1741
ARM_PegLeg,BBE5F77F77FCB18,BBE5F77F77FCB18,1323,1780
GO_Lester,BF7F7755642452B8,B6395EBFD2459486,1323,
LesterTsai,B6395EBFD2459486,B6395EBFD2459486,1323,1570
GO_GhostXRP,B81760E80763FEC7,B81760E80763FEC7,1320,1855
mFs_Firefighter6,DA50B0E67A5BD610,DA50B0E67A5BD610,1318,1802
LTS-Saint_Seiji,269E6F9A95F496FF,269E6F9A95F496FF,1317,1591
TTP_Destroyer2p0,7FEC15FA2B73A9AA,7FEC15FA2B73A9AA,1315,1734
Danderson,34D77753E6F1C47F,34D77753E6F1C47F,1313,1838
snackmonsta,194D69AAC11DD611,194D69AAC11DD611,1313,1776
imdarealmuffinman,781A8E2500BEF951,781A8E2500BEF951,1311,1174
Him,D14BC39D139C1BA4,D14BC39D139C1BA4,1308,1807
JerryTrucksALot_SIN,2FE12663EF7B6471,2FE12663EF7B6471,1307,1850
1DollarBaguette,C0AC5F873E351276,C0AC5F873E351276,1307,1711
SLAVA_UKRAINE,D84767B9532EFA98,D84767B9532EFA98,1306,1839
WWW_Kaya_Quest,C7B6D37A267B7F1D,C7B6D37A267B7F1D,1306,1763
DocYamar,907D369C20EA1737,907D369C20EA1737,1304,1715
ALIENISTA_ITABOYZ,D06E54F107474D27,D06E54F107474D27,1303,1771
ObiWanSoto,DA3E78DC21ADFD4E,DA3E78DC21ADFD4E,1300,1834
menino_,B336AF0C48A8377F,B336AF0C48A8377F,1299,1823
TreeTrunkTravis,4E52301B2E13E7AF,4E52301B2E13E7AF,1298,1802
rosezy,247DA21026E05643,247DA21026E05643,1293,1690
Birthday Fox,E48F609E5AFA2A5,E48F609E5AFA2A5,1291,1794
shadowcat.8,98953B48289646CA,98953B48289646CA,1285,1762
LiLGuerrero619,C59F43026258ED07,C59F43026258ED07,1285,1881
Debo7Debo,6A799A240B36438A,6A799A240B36438A,1284,1447
Beto_BR,F36D4945044DB781,F36D4945044DB781,1284,1403
GO_BramRianne1,296F759D3B7B66BD,296F759D3B7B66BD,1284,1721
Papa_penguin,B4EF290A1DF8BB39,B4EF290A1DF8BB39,1281,1728
Xav_Qc,DADD7CE51F5AE9A0,DADD7CE51F5AE9A0,1279,1841
PaulYerbury,C2A187823F2A11AF,C2A187823F2A11AF,1272,1697
ChrisTDB,DC65E5257B779732,DC65E5257B779732,1272,1690
VIPxSpray'N'Pray,D3BBD672D7E9E766,C7C87A8A21B3B89F,1272,
VIPxSpray_N_Pray,C7C87A8A21B3B89F,C7C87A8A21B3B89F,1272,1248
GO~SHoVVTiMeX,3570FF8FBC6530D4,3570FF8FBC6530D4,1270,1784
jontonsoup,7CF2C4AFB225F9E6,7CF2C4AFB225F9E6,1269,1738
T3RMINATOR,7AEDC8B0B84348FE,7AEDC8B0B84348FE,1269,1739
Fuzing,EAE5B45CA31E2754,EAE5B45CA31E2754,1266,1786
Happy Cows!!,3E96E157D3B6B46A,3E96E157D3B6B46A,1264,1649
Amdguru,75A2188B7745A49A,75A2188B7745A49A,1264,1668
Kim_Kardashian,B93111DA1620232C,B93111DA1620232C,1264,1758
OMEGA_MEDRANO_PPL,14D53EE28807589A,14D53EE28807589A,1260,1775
RoeTaKa,BCCAA5B2109349F3,BCCAA5B2109349F3,1259,1801
Pinbit_Zeatic,DA91031F823FE522,DA91031F823FE522,1257,1655
MasterSammy,5142D9AF411BD13E,5142D9AF411BD13E,1257,1505
BundeezyTTV,AC7C9E2B1E7EF54A,AC7C9E2B1E7EF54A,1252,1608
LeumaS55,C663EE53C3643B3D,C663EE53C3643B3D,1250,1702
Bruh.exe,A6AE87FB028ED85,A6AE87FB028ED85,1250,1543
Sp1n13,F9CBA5793008AA13,F9CBA5793008AA13,1250,1807
SlimJimGordon_NCC,432CC8A9740150B2,432CC8A9740150B2,1249,1706
PANDUSHH,71E9AAE898E28F27,71E9AAE898E28F27,1249,1692
VIPxRyan2dayy,77672C414F852A3B,77672C414F852A3B,1248,1729
CEA_LT,940252532EE50EA0,940252532EE50EA0,1245,1635
happypapaya,7D48F48BBD5B4A64,7D48F48BBD5B4A64,1242,1680
GasSnake420,9ADB4D701CF6DD92,9ADB4D701CF6DD92,1242,1587
ChiliDilly,8288A1E51EE222F9,8288A1E51EE222F9,1240,1684
Sgt.pj.winkels,89E68609E0F73B2F,89E68609E0F73B2F,1236,1642
CEA_Soul,E79FF422B3E2E21B,E79FF422B3E2E21B,1236,1707
TTV_Winter,4EFBB9740874DF99,4EFBB9740874DF99,1236,1803
TTV_Winter,B47B6C15654505EA,4EFBB9740874DF99,1236,1636
itsdaaannybetts,33C2F39DBC018AB,96C365ED219931A1,1235,
itz_Danimal,96C365ED219931A1,96C365ED219931A1,1235,1661
neeeks,A3D48CEE6968286F,A3D48CEE6968286F,1234,1723
BadBoys_tiGGu,4805559239AC223,4805559239AC223,1233,1673
Cosmic.Baddie,B3189703C55089F3,9D4419C593ED0F3,1233,
MISSION VR,9D4419C593ED0F3,9D4419C593ED0F3,1233,1620
MusicsAnts,817B1393203619A0,817B1393203619A0,1231,1577
Lilpus,606AB80515D16407,606AB80515D16407,1230,1765
VRS_NovaSphere,1E4FD786841EDCC,1E4FD786841EDCC,1228,1690
ARES_Nony_FR,461BAD472E598D2E,461BAD472E598D2E,1227,1677
Not_Juice,DE7C90E59E150827,DE7C90E59E150827,1224,1725
IFF_NL_SilvrLining23,ADF7427EC62CD8CA,ADF7427EC62CD8CA,1222,1602
Littlered85,EEAEEFDA51DDA6AE,EEAEEFDA51DDA6AE,1221,1657
NPS_JROD,4B656D3B3DEAD4FC,4B656D3B3DEAD4FC,1220,1637
Madison32,8D5D27357DE702DC,8D5D27357DE702DC,1220,1779
GoodDenAMug,D3C6F3108C4B3D0B,D3C6F3108C4B3D0B,1220,1631
VIPxKEV,93C72A01F4A611D2,93C72A01F4A611D2,1217,906
Peterpanflex,7FBE610C56B5FE41,7FBE610C56B5FE41,1216,1234
S.A.O PeterpanFlex,39FC372721AE0FDC,7FBE610C56B5FE41,1216,
WWW~Kaya,10A06FFEC55F5696,10A06FFEC55F5696,1215,1524
Abed,D7D8894C70EEAC4B,D7D8894C70EEAC4B,1211,1608
shreddymac.nb,F36F06887E6693F0,F36F06887E6693F0,1210,1618
IFuze,C56CB11A71F31C6A,C56CB11A71F31C6A,1210,1401
VIPxMax_ThePenguin,4BBEF2AEF541F270,4BBEF2AEF541F270,1209,1678
~PressStart,39F83757B15488FB,39F83757B15488FB,1209,1534
ketteDH,6D9B6161CAADB4EC,6D9B6161CAADB4EC,1205,1606
TTP.SweatyLefty,87365C31A02576D6,87365C31A02576D6,1205,1510
AJ108,F1FF2759B239A6E1,F1FF2759B239A6E1,1204,1605
ShortBusRejectz,13A22D76C73DFB46,13A22D76C73DFB46,1204,1512
Xivic,3A1D6F495A45F2B5,3A1D6F495A45F2B5,1201,1476
Austin,2090516D59D5AD89,2090516D59D5AD89,1201,0
Donald__Trump,49A3F84320606706,DE8E5B9586688093,1200,
K_A_N_Y_E,BFAC70B30B7C0225,DE8E5B9586688093,1200,
x.QU1X.x,DE8E5B9586688093,DE8E5B9586688093,1200,1678
VIPxSteel,6A04E4CCE9361848,6A04E4CCE9361848,1199,0
EverestDreams,BA5EFC51E9230A15,BA5EFC51E9230A15,1199,1466
GO_PlatosCaveVR,F60FC18D3DE40E85,F60FC18D3DE40E85,1199,1324
APEX-BionicGiraffe30,2CF29F8FDB506A32,2CF29F8FDB506A32,1199,1485
APEX-JoeyZ23,B407A5F4C358D5D7,B407A5F4C358D5D7,1199,1406
WWW_Kayla,4AAEDA0CB0B8F2F,4AAEDA0CB0B8F2F,1199,1533
Bsharp01,31FA0F3814786412,31FA0F3814786412,1198,1530
GO_Maverick,C88B28FFE600C77E,C88B28FFE600C77E,1194,1601
DSOW_SlickByDesign,55EDC5EB4729D6EA,55EDC5EB4729D6EA,1194,1593
Ironman,9B0B899BA2F6AA37,9B0B899BA2F6AA37,1193,1617
CosmicVayron,82AA92C38ED2B1EB,82AA92C38ED2B1EB,1193,1552
Captain_Ukraine,96A161429C7240D8,96A161429C7240D8,1191,1651
SKS_Sandman_Galaxy,FA0EE43A46B182A1,FA0EE43A46B182A1,1191,1315
Willarino,88372E2E09BC9321,88372E2E09BC9321,1190,1674
Baker.357,2C78ACC5477A723F,2C78ACC5477A723F,1190,1642
Ballo,D2A425FE9116F3F3,D2A425FE9116F3F3,1189,1625
GO_Loki,7AEED7BA665E4D7A,7AEED7BA665E4D7A,1189,1640
ttp_vister,67AA682BB2819515,67AA682BB2819515,1188,1520
SlickXl,71924F6FAA216B5C,71924F6FAA216B5C,1187,1503
Archer_1,3A1289A82AE13A7B,3A1289A82AE13A7B,1186,1691
S.A.O._.Gomezx3Turbo,E97B5685EFB2E730,E97B5685EFB2E730,1185,1597
Twizz.y,642CCBCA8C68869B,E97B5685EFB2E730,1185,1018
MusterCherf117,39210B561419A905,39210B561419A905,1185,1427
VRS_Soonski,69394977F3AE6D2C,69394977F3AE6D2C,1185,1610
FYA_Metaisbetta,28E3A8A253FE2B29,28E3A8A253FE2B29,1185,1575
OMEGA_NiteMare19,B1144ED1C41B0DDA,B1144ED1C41B0DDA,1184,1724
Zlink314,10AF9AAC4396CFDA,10AF9AAC4396CFDA,1184,1603
DRIPTOXIC,F1F43760B765B67E,F1F43760B765B67E,1182,1680
1MadTheSlaYer,9C270C001CB2689B,9C270C001CB2689B,1182,1607
WWW_Deathshot,41D8C6E14DDC2491,41D8C6E14DDC2491,1181,1509
Likebuttaa,DB0ABE517EBBE9B,DB0ABE517EBBE9B,1179,1608
IFF-FR-Lamiseb,1B2EA40D238C6544,1B2EA40D238C6544,1179,1608
LeumaS5,85102B8772709862,85102B8772709862,1179,1657
BADBOYS_FLO,5B67596B2F901005,5B67596B2F901005,1177,1616
portermac,CC668E1312F0EC6B,CC668E1312F0EC6B,1176,1656
IFF-FR-Trader87,D01A114CE632092B,D01A114CE632092B,1176,1606
BeefWrench.NB,2DD38FDBBD9D6515,2DD38FDBBD9D6515,1176,1625
VIPxNoah,35BF2EE8727E21DD,35BF2EE8727E21DD,1176,1566
VIPxNoah,743B2938B4AD04E4,35BF2EE8727E21DD,1176,
PossiblyAlex,6565D154114FD6A7,6565D154114FD6A7,1176,1536
The_Blasian,413CF2A72CEC387D,413CF2A72CEC387D,1174,1241
dannov,504F36DD0F35CAD5,504F36DD0F35CAD5,1174,1469
OcuDyn_SIN,F8F36663ED828B2D,F8F36663ED828B2D,1174,1729
Dhooft,817CEE0EF4934779,817CEE0EF4934779,1173,1650
Winner54_,31A0F9CC0262311E,492A78B22B55DDB3,1352,1623
Benji007,B3D419C638655AC,B3D419C638655AC,1173,1515
ARES_MAM,AA452C8A89D2F71E,AA452C8A89D2F71E,1172,1455
Dormaui,667C63877302E60F,667C63877302E60F,1172,1630
Zerkiller,B0292284FC06FCDA,B0292284FC06FCDA,1171,1470
ChillGiraffe53,572A645BE13FA66,B714C7C93928CB51,1169,0
VIPxZYRO,B714C7C93928CB51,B714C7C93928CB51,1169,1348
Free_Baguette,72D48D56A8BE1090,72D48D56A8BE1090,1169,1520
TTP.Pocket,416D72DCCD85AF57,416D72DCCD85AF57,1167,1522
VRS_DEMOLITION,86EA2A4572B85C3C,86EA2A4572B85C3C,1166,1540
PARZIVAL_GFY,6EA33B0D13C69E1F,6EA33B0D13C69E1F,1165,1534
Pokekette_Tajin_ARES,8DFBDFAFBD392ECC,8DFBDFAFBD392ECC,1164,1540
Mr.Twinkler098,2BC7A1AB4561865,2BC7A1AB4561865,1164,1512
kill2ride001,5E017E9235A63E96,5E017E9235A63E96,1164,1499
GO_STOOOBE,121559C6C39206B5,121559C6C39206B5,1164,1453
VRS_Yard00,F46DF64BE9A7B98E,F46DF64BE9A7B98E,1163,1587
The_Crafter,C3456304857986CE,C3456304857986CE,1162,1569
stumpynub,11B4742922143B9D,11B4742922143B9D,1161,1538
Robiniscool,FF804859A3083667,FF804859A3083667,1161,1549
VRS_Claxicon.TTV,3EB92D84D8C306BF,3EB92D84D8C306BF,1161,1436
WWW_Nautilus,B8D607314A32D16B,B8D607314A32D16B,1158,1507
braxton.tso.5_SIN,9CA6BCE37488925B,9CA6BCE37488925B,1156,1669
VIPxTheFlipSide,7869E518D1E868FC,7869E518D1E868FC,1156,1397
TTP_Matteast,376B6BEA0CE15070,376B6BEA0CE15070,1155,1360
PigG13,B8FABF9ACAECD854,4F205584916BEE3B,1155,
VRS_PigG13,4F205584916BEE3B,4F205584916BEE3B,1155,1543
Kyle432,4C6EBDE4E2E6A1EE,4C6EBDE4E2E6A1EE,1155,1546
usadapekora,9B4FFEB496D1EFCD,9B4FFEB496D1EFCD,1155,1514
capao_L.L.L,76648E0A7277F4D5,76648E0A7277F4D5,1154,1552
Nate-TheGreat,CE3A35A29A42D9A,CE3A35A29A42D9A,1153,1588
JAC_MATHEW.MAZZEI,98DD7F7B94D021CB,98DD7F7B94D021CB,1151,1566
VIPxTAKE,AB9387B8FEBD0944,F803F24A69FF642F,1151,
VIPxTakeVan,F803F24A69FF642F,F803F24A69FF642F,1151,1301
Scary_TETSUMA_TNT,316C1E634C61CA34,316C1E634C61CA34,1151,1412
HGH_ALWAYSDOWN,5EBD02565FF07268,5EBD02565FF07268,1150,1423
XMissingoX,37121390D33DE438,37121390D33DE438,1149,1526
morecowbell520,92C4946CFDD499E7,92C4946CFDD499E7,1148,1587
ratiba_quebec,9DAB7E8C127C281,9DAB7E8C127C281,1147,1582
Boogeyman8891,DF7BA4237AC32131,DF7BA4237AC32131,1146,1660
Peeazy,8F2658422F3641AD,8F2658422F3641AD,1144,1476
BK23XXIII,BFE591E87F14BDC1,BFE591E87F14BDC1,1144,1501
Kerby_VR,600871AEA5A00745,600871AEA5A00745,1144,1501
TWP_PRESTO_TRON,60B1EDA5C7E6030E,60B1EDA5C7E6030E,1144,1584
AOC_dagoat69,E9E44C258D99C389,E9E44C258D99C389,1144,1590
brrrr_1,1F38E2CA2D523F1,E9E44C258D99C389,1144,
Harry1617,7A2D4B83E6879EDB,7A2D4B83E6879EDB,1144,1542
Freia00,706C06B1CC71AEC3,706C06B1CC71AEC3,1143,1459
SirMÊTA,42CBDD37C806E6F2,42CBDD37C806E6F2,1143,1517
S.A.O._LilLitLandon,BBEE03930BD2C43B,BBEE03930BD2C43B,1142,1526
THC_Cookie,2696D8908CC3C8DC,2696D8908CC3C8DC,1142,1477
korzn,CB4AF62D83CBF1B,CB4AF62D83CBF1B,1141,826
FlashBolo,FFAB9B0248B5562,FFAB9B0248B5562,1140,1519
PinkForest,35BA664EE2D668FD,FFAB9B0248B5562,1140,
Crispy_morning,10F6A95319615550,10F6A95319615550,1138,1585
VRS_Luigi0007,C385CEC0BDEBE2E0,C385CEC0BDEBE2E0,1138,1575
JSR42,C32CD06AECD095F0,C32CD06AECD095F0,1138,1408
Kiku_Zeatic,DE028A373F969D47,DE028A373F969D47,1138,1450
OMEGA_TrashBoat,C971AC213B4AB5FC,C971AC213B4AB5FC,1137,1512
POP_ChrisP,4017450C529BB778,4017450C529BB778,1137,1525
Majorwiseguy,210F15830A1A7F3B,210F15830A1A7F3B,1136,1588
clev,51A8542B437B9171,51A8542B437B9171,1135,1451
AciDBurN1337,6C4F16D88F1BE063,6C4F16D88F1BE063,1135,1473
NAA-GridTheKing,F5C33DE701D945B9,F5C33DE701D945B9,1134,1441
S.A.O_Matthew_08,E5949569CD2E4B4E,E5949569CD2E4B4E,1134,1567
duckygreygrass,CF3D67AACEC54A45,CF3D67AACEC54A45,1132,1559
Trazy.Awp,1CABA4F7BC12810B,1CABA4F7BC12810B,1132,1561
x1disobedient1x,472D47AC50081212,472D47AC50081212,1131,0
xDarknezzzz,98FEC08D17CE9C86,98FEC08D17CE9C86,1131,1500
WillMM,2F8C8755E29B22CA,2F8C8755E29B22CA,1131,1539
benbobh,ADFE359E6F897D2A,ADFE359E6F897D2A,1130,1651
Ghost__Face,25CDC91DA3E05C9C,25CDC91DA3E05C9C,1130,1343
RIP_VR,26AC123E53B767EA,26AC123E53B767EA,1129,1549
Slickz_,2EB41E101ECBD7AE,2EB41E101ECBD7AE,1128,1572
Are_Soul,679AB0BD38C8899E,679AB0BD38C8899E,1127,1481
Chatman,19CC0D65BCBB75E1,19CC0D65BCBB75E1,1124,1589
Ares_Moumous,32A2DF9587FBE76C,32A2DF9587FBE76C,1122,1380
Behzurk,AD884235F64EFB33,AD884235F64EFB33,1119,1494
Chrissiii,76AD45CA84DCDD44,76AD45CA84DCDD44,1118,1430
CIC_Clint25,DE0F069F6E55C5C1,DE0F069F6E55C5C1,1117,1411
Balpeau,2971B2C4F1EEBF51,2971B2C4F1EEBF51,1116,1495
JAMES897,6B022813A08C37E,6B022813A08C37E,1115,1543
VRS_BOOST,60D200E7D4CCEE6,60D200E7D4CCEE6,1114,1465
